Title,Price,Availability,Product URL,Star rating,Publisher Country
What Happened on Beale Street (Secrets of the South Mysteries #2),Â£25.37,In stock,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,5,Abkhazia
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â£52.30,In stock,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,5,Anguilla
Delivering the Truth (Quaker Midwife Mystery #1),Â£20.89,In stock,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,4,American Samoa
Tipping the Velvet,Â£53.74,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,1,Bermuda
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Â£29.69,In stock,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,3,Antigua and Barbuda
A Flight of Arrows (The Pathfinders #2),Â£55.53,In stock,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,5,Abkhazia
The House by the Lake,Â£36.95,In stock,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,1,Bahamas
Mrs. Houdini,Â£30.25,In stock,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,5,Belize
The Marriage of Opposites,Â£28.08,In stock,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,4,Andorra
Glory over Everything: Beyond The Kitchen House,Â£45.84,In stock,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,3,Azerbaijan
"Love, Lies and Spies",Â£20.55,In stock,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,2,Barbados
A Paris Apartment,Â£39.01,In stock,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,4,Bangladesh
Lilac Girls,Â£17.28,In stock,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,2,Belarus
The Constant Princess (The Tudor Court #1),Â£16.62,In stock,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,3,Andorra
The Invention of Wings,Â£37.34,In stock,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,1,Antarctica
World Without End (The Pillars of the Earth #2),Â£32.97,In stock,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,4,Bahamas
The Passion of Dolssa,Â£28.32,In stock,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,5,Barbados
Girl With a Pearl Earring,Â£26.77,In stock,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,1,Belarus
Voyager (Outlander #3),Â£21.07,In stock,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,5,Algeria
The Red Tent,Â£35.66,In stock,https://books.toscrape.com/catalogue/the-red-tent_273/index.html,5,Benin
The Last Painting of Sara de Vos,Â£55.55,In stock,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,2,American Samoa
The Guernsey Literary and Potato Peel Pie Society,Â£49.53,In stock,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,1,Algeria
Girl in the Blue Coat,Â£46.83,In stock,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,2,Australia
